epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.598,1.79137,2.41756,1.64302,0.83627,0.77281,0.85166,0.40705,1.57177,1.38228,1.5899,0.000198667,0.000198667,0.080332
2,227.56,1.40339,1.18573,1.41329,0.9035,0.86252,0.93439,0.61768,1.13325,0.85592,1.30593,0.000396035,0.000396035,0.0605294
3,342.595,1.32483,1.05284,1.37832,0.90937,0.8626,0.92692,0.59883,1.2557,0.84595,1.39579,0.000590764,0.000590764,0.0407241
4,451.635,1.30833,0.91025,1.33918,0.93161,0.89185,0.9524,0.62094,1.13572,0.70211,1.30671,0.000782853,0.000782853,0.0209162
5,569.666,1.27883,0.86293,1.33696,0.95641,0.89796,0.96297,0.67463,1.05271,0.66753,1.27202,0.000972302,0.000972302,0.00110564
6,684.69,1.27844,0.83468,1.31855,0.92396,0.88602,0.93884,0.43197,1.6357,0.79147,1.63029,0.000967,0.000967,0.000967
7,794.861,1.25616,0.78679,1.32401,0.9381,0.90599,0.9651,0.57981,1.30558,0.66277,1.41588,0.0009604,0.0009604,0.0009604
8,903.964,1.252,0.76533,1.30779,0.93801,0.91341,0.9599,0.57117,1.25786,0.69686,1.38084,0.0009538,0.0009538,0.0009538
9,1014.2,1.19997,0.71671,1.27096,0.96103,0.92863,0.97412,0.72413,0.90342,0.50882,1.17653,0.0009472,0.0009472,0.0009472
10,1128.92,1.16399,0.70236,1.25252,0.96208,0.93909,0.97512,0.65932,1.06841,0.51446,1.25856,0.0009406,0.0009406,0.0009406
11,1238.28,1.15527,0.6737,1.26286,0.9493,0.94258,0.97344,0.71979,0.91048,0.49585,1.1861,0.000934,0.000934,0.000934
12,1347.71,1.1625,0.68643,1.26375,0.96586,0.94626,0.97496,0.70611,0.99486,0.48348,1.21797,0.0009274,0.0009274,0.0009274
13,1458.9,1.11174,0.64753,1.22557,0.97108,0.94881,0.98436,0.72868,0.95328,0.44842,1.18899,0.0009208,0.0009208,0.0009208
14,1573.01,1.13913,0.63864,1.24943,0.96349,0.93582,0.97398,0.59004,1.25061,0.56288,1.36203,0.0009142,0.0009142,0.0009142
15,1681.87,1.14133,0.64064,1.2411,0.97277,0.94448,0.98019,0.66395,1.10072,0.49901,1.27085,0.0009076,0.0009076,0.0009076
16,1792.97,1.14959,0.63303,1.24389,0.96702,0.95517,0.98008,0.72891,0.92163,0.46163,1.18649,0.000901,0.000901,0.000901
17,1906.9,1.1054,0.60666,1.23187,0.96686,0.94602,0.97907,0.66727,1.05527,0.48068,1.2453,0.0008944,0.0008944,0.0008944
18,2017.15,1.09209,0.60555,1.21174,0.9575,0.95565,0.98147,0.6666,1.08913,0.48458,1.2482,0.0008878,0.0008878,0.0008878
19,2126.62,1.13154,0.61945,1.24737,0.97477,0.965,0.98541,0.7477,0.8869,0.43308,1.16121,0.0008812,0.0008812,0.0008812
20,2240.83,1.09615,0.58172,1.22109,0.97189,0.94687,0.97876,0.74131,0.88892,0.4402,1.15824,0.0008746,0.0008746,0.0008746
21,2350.07,1.10115,0.60056,1.22873,0.96875,0.96196,0.9849,0.65578,1.10785,0.47492,1.2613,0.000868,0.000868,0.000868
22,2464.4,1.18827,0.63051,1.2649,0.97091,0.95811,0.98437,0.68899,1.04065,0.4675,1.23313,0.0008614,0.0008614,0.0008614
23,2574.99,1.08308,0.60661,1.21502,0.97933,0.95812,0.98643,0.75907,0.85281,0.40866,1.13957,0.0008548,0.0008548,0.0008548
24,2689.35,1.12842,0.58688,1.23007,0.97105,0.96378,0.98505,0.64838,1.13767,0.47466,1.27619,0.0008482,0.0008482,0.0008482
25,2800.34,1.04918,0.5675,1.20227,0.97132,0.94806,0.98275,0.62974,1.24069,0.49342,1.35356,0.0008416,0.0008416,0.0008416
